season,opponent,result,pace,ppp,efg,to,or,ft,pmp,tmp,tmpa,fpa,fpt,tft,oppp,oefg,oto,oor,oft,opmp,otmp,otmpa,ofpa,ofpt,otft,label,type,blind
2017-18,Western Carolina,W,79,1.32,69.2,21.5,41.9,32.3,48.8,72.7,33.8,14,21,66.7,0.77,42.6,19,14.9,8.8,33.3,34.3,51.5,3,6,50,Western Carolina W 104-61 (2017-18),Non-Conference,lightgreen
2017-18,Tulane,W,76,1.28,69.8,17.2,34.6,50,71.7,41.7,20.7,16,29,55.2,0.97,44.9,10.6,20,23.2,38.1,37,39.1,11,16,68.8,Tulane W 97-73 (2017-18),Non-Conference,lightgreen
2017-18,Davidson,W,71,1.19,50.7,15.4,50,33.8,56.2,25,29.4,16,23,69.6,1.05,51.6,9.8,10.3,15.6,38.7,42.4,51.6,9,10,90,Davidson W 85-75 (2017-18),Non-Conference,lightgreen
2017-18,Michigan,W,70,1.23,60.5,17.2,35.7,25.8,57.4,46.7,24.2,11,16,68.8,1.02,50,14.3,32.5,16.7,56.2,29.4,51.5,5,11,45.5,Michigan W 86-71 (2017-18),Non-Conference,lightgreen
2017-18,Michigan State,L,72,0.62,25.4,22.1,28.3,39.3,32.6,5.6,29.5,14,24,58.3,0.87,49.1,33.2,40,23.6,41.4,38.5,47.3,9,13,69.2,Michigan State L 45-63 (2017-18),Non-Conference,lightpink
2017-18,Arkansas,W,76,1.15,55.6,18.4,34.4,33.3,48.9,50,25.4,17,21,81,0.9,43.8,11.9,20.4,11.1,40,33.3,37.5,5,8,62.5,Arkansas W 87-68 (2017-18),Non-Conference,lightgreen
2017-18,Portland,W,83,1.23,56.4,15.6,41,25.6,53.7,41.7,30.8,14,20,70,0.94,48.6,16.8,22.2,13.7,35.6,46.4,38.4,7,10,70,Portland W 102-78 (2017-18),Non-Conference,lightgreen
2017-18,Stanford,W,83,1.16,58.2,16.9,28.6,20.6,55.3,42.3,35.6,11,15,73.3,0.87,49.1,23,17.9,50,45.9,36.8,33.9,17,28,60.7,Stanford W 96-72 (2017-18),Non-Conference,lightgreen
2017-18,Bucknell,W,78,1.19,51.5,16.6,43.2,50,51,35.3,25.8,25,33,75.8,1.04,54.8,16.6,18.4,28.6,51.4,39.3,44.4,12,18,66.7,Bucknell W 93-81 (2017-18),Non-Conference,lightgreen
2017-18,Northern Iowa,W,70,1.24,54.8,10.1,29,33.9,56.8,33.3,29,18,21,85.7,0.99,53.6,20.1,20,27.3,37,46.4,50.9,10,15,66.7,Northern Iowa W 86-69 (2017-18),Non-Conference,lightgreen
2016-17,Gonzaga,W,74,0.96,38.4,5.4,28.9,35.6,47.8,14.8,37,15,26,57.7,0.88,40.7,19,27.9,44.1,30,42.1,32.2,17,26,65.4,Gonzaga W 71-65 (2016-17),NCAA Tournament,lightgreen
2016-17,Oregon,W,75,1.03,42.6,14.7,35.4,39.7,36.2,38.1,30.9,19,27,70.4,1.01,44,21.3,31.6,48.3,46.9,26.9,44.8,25,28,89.3,Oregon W 77-76 (2016-17),NCAA Tournament,lightgreen
2016-17,Kentucky,W,73,1.03,49.1,22,36.1,44.8,55.8,20,25.9,18,26,69.2,1,46.9,12.4,26.2,29.2,43.5,36.8,29.2,12,19,63.2,Kentucky W 75-73 (2016-17),NCAA Tournament,lightgreen
2016-17,Butler,W,73,1.26,62.3,13.7,35.7,57.9,66.7,37.5,42.1,21,33,63.6,1.1,50,12.4,22.2,33.9,55.9,28.6,45.2,18,21,85.7,Butler W 92-80 (2016-17),NCAA Tournament,lightgreen
2016-17,Arkansas,W,74,0.97,42.1,22.9,42.9,39.7,41.3,29.4,27,19,25,76,0.87,50,25.6,22.9,13.3,46.2,38.1,35,5,8,62.5,Arkansas W 72-65 (2016-17),NCAA Tournament,lightgreen
2016-17,Texas Southern,W,76,1.36,56,13.2,48.8,34.7,56.6,36.4,29.3,19,26,73.1,0.84,42.5,17.1,15,26.7,45.5,25.9,45,13,16,81.3,Texas Southern W 103-64 (2016-17),NCAA Tournament,lightgreen
