season,opponent,result,unc,opp,off1,off2,off3,uncfouls,oppfouls,sumfouls
2014-15,UVA,W,71,67,Roger Ayers,Raymond Styons,Jerry Heater,16,17,33
2014-15,Louisville,W,70,60,Mike Eades,Tim Nestor,Bill Covington Jr.,18,14,32
2014-15,Boston College,W,81,63,Tim Nestor,Sean Hull,Tim Kelly,17,16,33
2014-15,Duke,L,77,84,Bryan Kersey,Brian Dorsey,Sean Hull,19,15,34
2014-15,Georgia Tech,W,81,49,Mike Eades,Mike Roberts,Lamar Simpson,18,11,29
2014-15,Miami,W,73,64,Tim Comer,Jamie Luckie,Wally Rutecki,15,19,34
2014-15,NC State,L,46,58,Bryan Kersey,Mike Stuart,Raymond Styons,16,13,29
2014-15,Georgia Tech,W,89,60,Bryan Kersey,Sean Hull,Sean Casady,13,10,23
2014-15,Duke,L,90,92,Roger Ayers,Pat Driscoll,Tim Nestor,26,16,42
2014-15,Pittsburgh,L,76,89,Tim Clougherty,Jerry Heater,Michael Stephens,15,21,36
2014-15,Boston College,W,79,68,Louie Andrakakos,Dwayne Gladden,Jerry Heater,20,21,41
2014-15,UVA,L,64,75,Jamie Luckie,Mike Roberts,Pat Driscoll,16,13,29
2014-15,Louisville,L,68,78,Brian Dorsey,Bill Covington Jr.,Lamar Simpson,33,16,49
2014-15,Syracuse,W,93,83,Bryan Kersey,Brian Dorsey,Joe Lindsay,19,25,44
2014-15,Florida State,W,78,74,Brian O'Connell,Jerry Heater,Terry Wymer,18,20,38
2014-15,Wake Forest,W,87,71,Roger Ayers,Jeffrey Anderson,Michael Stephens,20,17,37
2014-15,Virginia Tech,W,68,53,Pat Driscoll,Joe Lindsay,Mike Stuart,13,19,32
2014-15,NC State,W,81,79,Jamie Luckie,Brian Dorsey,Tim Nestor,21,20,41
2014-15,Louisville,W,72,71,Roger Ayers,Sean Hull,Mike Roberts,13,12,25
2014-15,Notre Dame,L,70,71,Bryan Kersey,Doug Shows,Joe Lindsay,17,19,36
2014-15,Clemson,W,74,50,Mike Eades,Tony Greene,Sean Casady,18,15,33
2014-15,William & Mary,W,86,64,Jamie Luckie,Louie Andrakakos,Andrew Marotta,20,15,35
2014-15,UAB,W,89,58,Bryan Kersey,Les Jones,Michael Stephens,21,23,44
2014-15,Ohio State,W,82,74,Roger Ayers,Doug Shows,Michael Stephens,16,24,40
2014-15,UNC-G,W,79,56,Gary Maxwell,Dwayne Gladden,Todd Austin,22,20,42
2014-15,Kentucky,L,70,84,Tony Greene,Pat Adams,Doug Shows,22,17,39
2014-15,East Carolina,W,108,64,Roger Ayers,Bill Covington Jr.,Lamar Simpson,16,19,35
2014-15,Iowa,L,55,60,Brian Dorsey,Tim Nestor,Mike Roberts,22,20,42
2014-15,Florida,W,75,64,Gary Maxwell,Don Daily,Bert Smith,22,25,47
2014-15,UCLA,W,78,56,Gary Maxwell,Darron George,Keith Kimble,25,18,43
2014-15,Butler,L,66,74,Mike Roberts,Don Daily,Jeb Hartness,24,24,48
2014-15,Davidson,W,90,72,Bryan Kersey,Mike Eades,Doug Shows,16,18,34
2014-15,Robert Morris,W,103,59,Joe Lindsay,Anthony Franklin,Wally Rutecki,20,27,47
2014-15,NC Central,W,76,60,Raymond Styons,Tim Nestor,Jeff Nichols,24,24,48
2013-14,Iowa State,L,83,85,Tony Greene,Chris Rastatter,Bo Boroski,21,17,38
2013-14,Providence,W,79,77,Chris Rastatter,Bo Boroski,Kevin Brill,19,14,33
2013-14,Pittsburgh,L,75,80,Karl Hess,Raymond Styons,Brian Dorsey,32,26,58
2013-14,Duke,L,81,93,Karl Hess,Mike Eades,Ray Natili,22,20,42
2013-14,Notre Dame,W,63,61,Bryan Kersey,Michael Stephens,Mike Stuart,16,20,36
2013-14,Virginia Tech,W,60,56,Jamie Luckie,Tim Nestor,Lamar Simpson,20,17,37
2013-14,NC State,W,85,84,Les Jones,Brian Dorsey,Doug Shows,23,21,44
2013-14,Wake Forest,W,105,72,Les Jones,Ray Natili,Dwayne Gladden,19,22,41
2013-14,Duke,W,74,66,Bryan Kersey,Pat Driscoll,Ed Corbett,17,26,43
2013-14,Florida State,W,81,75,Brian Dorsey,Tony Greene,Brian O'Connell,25,21,46
2013-14,Pittsburgh,W,75,71,Karl Hess,Raymond Styons,Tim Kelly,20,22,42
2013-14,Notre Dame,W,73,62,Mike Eades,Brian O'Connell,Jerry Heater,12,17,29
2013-14,Maryland,W,75,63,Karl Hess,Michael Stephens,Mike Stuart,18,29,47
2013-14,NC State,W,84,70,Bryan Kersey,Joe Lindsay,Raymond Styons,23,21,44
2013-14,Georgia Tech,W,78,65,Brian Dorsey,Sean Hull,Tony Henderson,22,21,43
2013-14,Clemson,W,80,61,Karl Hess,Jamie Luckie,Tim Nestor,19,19,38
2013-14,UVA,L,61,76,Roger Ayers,Joe Lindsay,Michael Stephens,21,12,33
2013-14,Boston College,W,82,71,Tim Nestor,Tim Comer,Bill Covington Jr.,22,22,44
2013-14,Syracuse,L,45,57,Roger Ayers,Tony Greene,Ed Corbett,14,8,22
2013-14,Miami,L,57,63,Bryan Kersey,Brian Dorsey,Gary Maxwell,19,19,38
2013-14,Wake Forest,L,67,73,Mike Eades,Mike Roberts,Doug Shows,23,14,37
2013-14,UNC-Wilmington,W,84,51,Tim Nestor,Sean Casady,Jeff Nichols,16,15,31
2013-14,NKU,W,75,60,Mike Eades,Sean Hull,Terry Wymer,13,21,34
2013-14,Davidson ,W,87,85,Tim Nestor,Jeff Nichols,Raymond Styons,24,31,55
2013-14,Texas,L,83,86,Karl Hess,Les Jones,Bryan Kersey,24,31,55
2013-14,Kentucky,W,82,77,Roger Ayers,Mike Eades,Joe Lindsay,26,30,56
2013-14,UNC-G,W,81,50,Les Jones,Mike Roberts,Sean Casady,15,20,35
2013-14,Michigan State,W,79,65,Terry Wymer,Lamont Simpson,Pat Driscoll,20,19,39
2013-14,UAB,L,59,63,Don Daily,Kevin Fehr,Ron Groover,19,14,33
2013-14,Louisville,W,93,84,Bryan Kersey,Brian O'Connell,Brian Dorsey,21,29,50
2013-14,Richmond,W,82,72,Bryan Kersey,Ron Tyburski,Gary Pucino,24,26,50
2013-14,Belmont,L,80,83,Les Jones,Louie Andrakakos,Alan Spainhour,19,31,50
2013-14,Holy Cross,W,62,54,Brian Dorsey,Sean Hull,Jeffrey Anderson,25,21,46
2013-14,Oakland,W,84,61,Bryan Kersey,Jeremy Moiser,Alan Spainhour,17,19,36
2012-13,Kansas,L,58,70,Pat Adams,Mike Kitts,Mike Greenstein,20,11,31
2012-13,Villanova,W,78,71,Pat Adams,Mike Greenstein,Deron White,14,22,36
2012-13,Miami,L,77,87,Bryan Kersey,Mike Eades,Roger Ayers,18,10,28
2012-13,Maryland,W,79,76,Karl Hess,Brian Dorsey,Ray Natili,19,20,39
2012-13,Florida State,W,83,62,Karl Hess,Gary Maxwell,Raymond Styons,15,17,32
2012-13,Duke,L,53,69,Roger Ayers,Les Jones,Tim Nestor,13,14,27
2012-13,Maryland,W,79,68,Doug Sirmons,Mike Eades,Joe Lindsay,14,18,32
2012-13,Florida State,W,79,58,Ray Natili,Jamie Luckie,Bryan Kersey,13,12,25
2012-13,Clemson,W,68,59,Karl Hess,Les Jones,Ed Corbett,12,14,26
2012-13,NC State,W,76,65,Ray Natili,Doug Sirmons,Gary Maxwell,12,17,29
2012-13,Georgia Tech,W,70,58,Jamie Luckie,John Cahill,Roger Ayers,12,13,25
2012-13,UVA,W,93,81,Les Jones,Tim Kelly,Jerry Heater,11,21,32
2012-13,Duke,L,68,73,Karl Hess,Mike Eades,Bryan Kersey,18,22,40
2012-13,Miami,L,61,87,Jamie Luckie,Tim Nestor,Gary Maxwell,15,7,22
2012-13,Wake Forest,W,87,62,Les Jones,Brian Dorsey,Ed Corbett,18,19,37
