season,opponent,result,oefg,opm,opa,opmp,otpm,otpa,otmp,otmpa,ofpa,ofpt,otft
2018-19,Texas,L,61.9,20,35,57.1,11,24,45.8,40.7,19,29,65.5
2018-19,St. Francis PA,W,41.8,13,38,34.2,10,29,34.5,43.3,20,27,74.1
2018-19,Tennessee Tech,W,39.1,19,39,48.7,4,25,16,39.1,8,13,61.5
2018-19,Stanford,W,45.5,20,45,44.4,7,22,31.8,32.8,11,15,73.3
2018-19,Elon,W,41.5,14,30,46.7,7,29,24.1,49.2,18,28,64.3
2018-19,Wofford,W,45.2,15,28,53.6,9,35,25.7,55.6,10,11,90.9
2017-18,Texas A&M,L,60,21,36,58.3,10,24,41.7,40,13,21,61.9
2017-18,Lipscomb,W,41.4,16,36,44.4,7,28,25,43.8,13,15,86.7
2017-18,UVA,L,51,12,33,36.4,9,17,52.9,34,20,22,90.9
2017-18,Duke,W,46.3,16,31,51.6,6,23,26.1,42.6,19,23,82.6
2017-18,Miami,W,41.4,20,51,39.2,6,19,31.6,27.1,7,13,53.8
2017-18,Syracuse,W,38.1,12,40,30,8,23,34.8,36.5,11,14,78.6
2017-18,Duke,L,52.4,19,37,51.4,9,25,36,40.3,9,20,45
2017-18,Miami,L,63.7,23,40,57.5,11,22,50,35.5,12,13,92.3
2017-18,Syracuse,W,50,17,35,48.6,8,23,34.8,39.7,16,17,94.1
2017-18,Louisville,W,50.8,21,45,46.7,7,17,41.2,27.4,13,22,59.1
2017-18,Notre Dame,W,46.5,12,31,38.7,10,27,37,46.6,12,23,52.2
2017-18,NC State,W,60.2,28,51,54.9,7,13,53.8,20.3,12,19,63.2
2017-18,Duke,W,55.6,21,37,56.8,9,25,36,40.3,9,12,75
2017-18,Pittsburgh,W,46.7,13,30,43.3,10,30,33.3,50,9,15,60
2017-18,Clemson,L,51.6,9,31,29,15,30,50,49.2,19,27,70.4
2017-18,NC State,L,54.6,19,46,41.3,15,30,50,39.5,12,18,66.7
2017-18,Virginia Tech,L,57.1,18,33,54.5,12,30,40,47.6,8,12,66.7
2017-18,Georgia Tech,W,52.5,24,42,57.1,5,18,27.8,30,3,6,50
2017-18,Clemson,W,58,16,25,64,11,31,35.5,55.4,14,21,66.7
2017-18,Notre Dame,W,42.4,13,42,31,10,24,41.7,36.4,12,15,80
2017-18,Boston College,W,48.4,12,29,41.4,12,33,36.4,53.2,6,13,46.2
2017-18,UVA,L,52.8,16,31,51.6,8,22,36.4,41.5,5,9,55.6
2017-18,Florida State,L,58.8,17,28,60.7,11,29,37.9,50.9,14,22,63.6
2017-18,Wake Forest,W,48.4,14,34,41.2,11,29,37.9,46,8,16,50
2017-18,Ohio State,W,48.3,21,43,48.8,5,16,31.2,27.1,15,19,78.9
2017-18,Wofford,L,49.2,21,42,50,7,22,31.8,34.4,16,18,88.9
2017-18,Tennessee,W,44,16,42,38.1,9,25,36,37.3,14,17,82.4
2017-18,Western Carolina,W,42.6,11,33,33.3,12,35,34.3,51.5,3,6,50
2017-18,Tulane,W,44.9,16,42,38.1,10,27,37,39.1,11,16,68.8
2017-18,Davidson,W,51.6,12,31,38.7,14,33,42.4,51.6,9,10,90
2017-18,Michigan,W,50,18,32,56.2,10,34,29.4,51.5,5,11,45.5
2017-18,Michigan State,L,49.1,12,29,41.4,10,26,38.5,47.3,9,13,69.2
2017-18,Arkansas,W,43.8,18,45,40,9,27,33.3,37.5,5,8,62.5
2017-18,Portland,W,48.6,16,45,35.6,13,28,46.4,38.4,7,10,70
2017-18,Stanford,W,49.1,17,37,45.9,7,19,36.8,33.9,17,28,60.7
2017-18,Bucknell,W,54.8,18,35,51.4,11,28,39.3,44.4,12,18,66.7
2017-18,Northern Iowa,W,53.6,10,27,37,13,28,46.4,50.9,10,15,66.7
2016-17,Gonzaga,W,40.7,12,40,30,8,19,42.1,32.2,17,26,65.4
2016-17,Oregon,W,44,15,32,46.9,7,26,26.9,44.8,25,28,89.3
2016-17,Kentucky,W,46.9,20,46,43.5,7,19,36.8,29.2,12,19,63.2
2016-17,Butler,W,50,19,34,55.9,8,28,28.6,45.2,18,21,85.7
2016-17,Arkansas,W,50,18,39,46.2,8,21,38.1,35,5,8,62.5
2016-17,Texas Southern,W,42.5,15,33,45.5,7,27,25.9,45,13,16,81.3
2016-17,Duke,L,60,15,33,45.5,10,17,58.8,34,33,37,89.2
2016-17,Miami,W,40.6,14,32,43.8,5,21,23.8,39.6,10,16,62.5
2016-17,Duke,W,50.9,17,35,48.6,7,19,36.8,35.2,28,35,80
2016-17,UVA,L,40.7,9,35,25.7,10,24,41.7,40.7,5,8,62.5
2016-17,Pittsburgh,W,46.9,12,24,50,7,24,29.2,50,22,30,73.3
