season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2016-17,31-Dec-16,Georgia Tech,away,League,League,L,63,75,,https:///dadgumboxscores.com/boxes/2017/gt-75-unc-63
2016-17,28-Dec-16,Monmouth,home,Non-Conference,Non-Conference,W,102,74,,https:///dadgumboxscores.com/boxes/2017/unc-102-mon-74
2016-17,21-Dec-16,Northern Iowa,home,Non-Conference,Non-Conference,W,85,42,,https:///dadgumboxscores.com/boxes/2017/unc-85-uni-42
2016-17,17-Dec-16,Kentucky,neutral,Non-Conference,Non-Conference,L,100,103,,https:///dadgumboxscores.com/boxes/2017/kentucky-103-unc-100
2016-17,11-Dec-16,Tennessee,home,Non-Conference,Non-Conference,W,73,71,,https:///dadgumboxscores.com/boxes/2017/unc-73-tenn-71
2016-17,7-Dec-16,Davidson,home,Non-Conference,Non-Conference,W,83,74,,https:///dadgumboxscores.com/boxes/2017/unc-83-dav-74
2016-17,4-Dec-16,Radford,home,Non-Conference,Non-Conference,W,95,50,,https:///dadgumboxscores.com/boxes/2017/unc-95-radford-50
2016-17,30-Nov-16,Indiana,away,Non-Conference,Non-Conference (Big Ten Challenge),L,67,76,,https:///dadgumboxscores.com/boxes/2017/ind-76-unc-67
2016-17,23-Nov-16,Wisconsin,neutral,Non-Conference,Non-Conference (Maui Invitational),W,71,56,,https:///dadgumboxscores.com/boxes/2017/unc-71-wisco-56
2016-17,22-Nov-16,Oklahoma State,neutral,Non-Conference,Non-Conference (Maui Invitational),W,107,75,,https:///dadgumboxscores.com/boxes/2017/unc-107-okstate-75.pdf
2016-17,21-Nov-16,Chaminade,neutral,Non-Conference,Non-Conference (Maui Invitational),W,104,61,,https:///dadgumboxscores.com/boxes/2017/unc-104-cham-61
2016-17,19-Nov-16,Hawai'i,away,Non-Conference,Non-Conference,W,83,68,,https:///dadgumboxscores.com/boxes/2017/unc-83-haw-68
2016-17,15-Nov-16,Long Beach State,home,Non-Conference,Non-Conference,W,93,67,,https:///dadgumboxscores.com/boxes/2017/unc-93-lbsu-67
2016-17,13-Nov-16,Chattanooga,home,Non-Conference,Non-Conference,W,97,57,,https:///dadgumboxscores.com/boxes/2017/unc-97-chatt-57
2016-17,11-Nov-16,Tulane,away,Non-Conference,Non-Conference,W,95,75,,https:///dadgumboxscores.com/boxes/2017/unc-95-tulane-75
2015-16,4-Apr-16,Villanova,neutral,NCAA Tournament,NCAA Tournament Championship,L,74,77,,https:///dadgumboxscores.com/boxes/2016/nova-77-unc-74
2015-16,2-Apr-16,Syracuse,neutral,NCAA Tournament,NCAA Tournament Final 4,W,83,66,,https:///dadgumboxscores.com/boxes/2016/unc-83-cuse-66
